placer,algorithm,superblue1,superblue3,superblue4,superblue5,superblue7,superblue10,superblue16,superblue18
sp(GP eval),EA,80.95$\pm$2.11 (n_seed=9),81.72$\pm$3.23 (n_seed=8),56.38$\pm$2.10 (n_seed=10),166666750.39$\pm$372677958.81 (n_seed=6),96.74$\pm$2.37 (n_seed=8),98.26$\pm$2.60 (n_seed=5),65.82$\pm$1.85 (n_seed=10),29.48$\pm$0.45 (n_seed=10)
hpo(GP eval),SA,37.51$\pm$0.73 (n_seed=5),42.93$\pm$0.05 (n_seed=5),28.86$\pm$0.28 (n_seed=5),40.54$\pm$0.13 (n_seed=5),54.26$\pm$0.49 (n_seed=5),69.13$\pm$0.27 (n_seed=5),37.10$\pm$0.28 (n_seed=5),22.17$\pm$0.18 (n_seed=5)
hpo(GP eval),EA,36.91$\pm$0.88 (n_seed=5),42.38$\pm$0.31 (n_seed=5),28.15$\pm$0.24 (n_seed=5),40.03$\pm$0.27 (n_seed=5),53.22$\pm$0.13 (n_seed=5),68.65$\pm$0.16 (n_seed=5),36.85$\pm$0.22 (n_seed=5),21.90$\pm$0.07 (n_seed=5)
hpo(GP eval),BO,37.00$\pm$0.56 (n_seed=10),43.90$\pm$1.31 (n_seed=10),28.26$\pm$0.19 (n_seed=10),40.34$\pm$0.19 (n_seed=10),53.90$\pm$0.80 (n_seed=10),69.40$\pm$0.83 (n_seed=10),36.90$\pm$0.28 (n_seed=10),22.11$\pm$0.09 (n_seed=10)
hpo(GP eval),ES,37.95$\pm$0.41 (n_seed=10),42.77$\pm$0.40 (n_seed=10),28.39$\pm$0.23 (n_seed=10),40.46$\pm$0.34 (n_seed=10),54.63$\pm$0.62 (n_seed=10),69.29$\pm$0.86 (n_seed=8),37.00$\pm$0.20 (n_seed=10),22.01$\pm$0.10 (n_seed=11)
hpo(GP eval),PSO,37.09$\pm$0.63 (n_seed=10),42.31$\pm$0.47 (n_seed=10),28.07$\pm$0.11 (n_seed=10),40.11$\pm$0.21 (n_seed=10),53.32$\pm$0.42 (n_seed=10),68.57$\pm$0.25 (n_seed=10),36.65$\pm$0.25 (n_seed=10),21.88$\pm$0.12 (n_seed=10)

hpo(GP eval),RS,37.45$\pm$0.28 (n_seed=5),42.97$\pm$0.22 (n_seed=5),28.37$\pm$0.19 (n_seed=5),40.31$\pm$0.31 (n_seed=5),54.55$\pm$0.34 (n_seed=4),68.96$\pm$0.50 (n_seed=5),36.93$\pm$0.04 (n_seed=5),21.98$\pm$0.10 (n_seed=5)
mgo(GP eval),RS,61.47$\pm$1.15 (n_seed=5),70.89$\pm$0.92 (n_seed=5),44.72$\pm$0.11 (n_seed=5),80.73$\pm$0.43 (n_seed=5),84.08$\pm$0.60 (n_seed=5),93.26$\pm$0.91 (n_seed=5),50.20$\pm$0.49 (n_seed=4),28.81$\pm$0.13 (n_seed=4)

mgo(GP eval),ES_sigma_1,64.93$\pm$1.54 (n_seed=5),74.94$\pm$1.03 (n_seed=5),45.92$\pm$1.07 (n_seed=5),84.94$\pm$1.79 (n_seed=5),87.03$\pm$2.12 (n_seed=5),97.94$\pm$1.86 (n_seed=5),52.02$\pm$0.60 (n_seed=5),30.13$\pm$0.37 (n_seed=5)
mgo(GP eval),ES_sigma_5,64.22$\pm$1.30 (n_seed=5),73.67$\pm$0.99 (n_seed=5),45.84$\pm$0.86 (n_seed=5),83.53$\pm$1.82 (n_seed=5),86.21$\pm$2.21 (n_seed=5),97.16$\pm$2.03 (n_seed=5),51.52$\pm$0.67 (n_seed=5),29.80$\pm$0.19 (n_seed=5)
mgo(GP eval),ES_sigma_10,65.14$\pm$2.76 (n_seed=5),73.18$\pm$0.96 (n_seed=5),45.38$\pm$0.82 (n_seed=5),82.57$\pm$2.03 (n_seed=5),86.25$\pm$1.93 (n_seed=5),96.49$\pm$1.70 (n_seed=5),51.20$\pm$0.65 (n_seed=5),29.31$\pm$0.50 (n_seed=5)
mgo(GP eval),ES_sigma_50,63.20$\pm$1.29 (n_seed=5),71.59$\pm$0.34 (n_seed=5),44.64$\pm$0.58 (n_seed=5),80.38$\pm$1.31 (n_seed=5),84.50$\pm$1.44 (n_seed=4),93.45$\pm$1.18 (n_seed=5),50.33$\pm$0.65 (n_seed=5),29.00$\pm$0.16 (n_seed=5)
